"Certifier Name","Operation Name","Physical Address: Street 1","Physical Address: Street 2","Physical Address: City","Physical Address: State/Province","Physical Address: ZIP/ Postal Code","Broker","Community Supported Agriculture (CSA)","Co-Packer","Dairy","Distributor","Marketer/Trader","Restaurant","Retail Food Establishment","Poultry","Private Labeler","Slaughterhouse","Storage","Grower Group","Data as of Date","Organic Certificate","addresses","lon","lat"
"Global Organic Alliance, Inc","Hughes Organic Farms LLC","3985 Oakley Rd",NA,"Stokes","North Carolina","27884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-30,NA,"3985 Oakley Rd, Stokes, North Carolina, 27884",NA,NA
"CCOF Certification Services, LLC","Grafted Growers, LLC Dba Grafted Growers","4025 Atlantic Ave",NA,"Raleigh","North Carolina","27604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-23,NA,"4025 Atlantic Ave, Raleigh, North Carolina, 27604",-78.6023388,35.8385735
"OneCert, Inc.","Sklar BOV Solutions, Inc. DBA BOV Solutions","1105 E Garner Bagnal Blvd",NA,"Statesville","North Carolina","28677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-27,NA,"1105 E Garner Bagnal Blvd, Statesville, North Carolina, 28677",NA,NA
"Quality Assurance International","C & F Foods, Inc.","5201 Departure Drive",NA,"Raleigh","North Carolina","27616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-18,NA,"5201 Departure Drive, Raleigh, North Carolina, 27616",NA,NA
"Quality Assurance International","Bimbo Bakeries USA","1029 Cox Road",NA,"Gastonia","North Carolina","28054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-12,NA,"1029 Cox Road, Gastonia, North Carolina, 28054",NA,NA
"Quality Assurance International","Bimbo Bakeries USA","320 Main Street East",NA,"Valdese","North Carolina","28690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-26,NA,"320 Main Street East, Valdese, North Carolina, 28690",-81.5594363,35.7424665
"A Bee Organic","Mary Ann's Berry Farms LLC","535 Eddie L. Jones Rd.",NA,"Ivanhoe","North Carolina","28447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-10-03,NA,"535 Eddie L. Jones Rd., Ivanhoe, North Carolina, 28447",-78.2316574,34.604041
"Quality Assurance International","Lipman Produce - Custom Pak North Carolina Inc.","2123 Ridge Road",NA,"Hendersonville","North Carolina","28792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-05,NA,"2123 Ridge Road, Hendersonville, North Carolina, 28792",NA,NA
"Quality Assurance International","Great American Snacks","2701 Simpson Street",NA,"Monroe","North Carolina","28112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-21,NA,"2701 Simpson Street, Monroe, North Carolina, 28112",NA,NA
"Quality Assurance International","Bay Valley Foods, LLC","354 North Faison Ave.",NA,"Faison","North Carolina","28341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-15,NA,"354 North Faison Ave., Faison, North Carolina, 28341",NA,NA
